date,max_temp,min_temp
2021-08-01,30.5,18.7
2021-08-02,34.0,18.5
2021-08-03,36.8,19.0
2021-08-04,38.3,19.5
2021-08-05,38.7,22.5
2021-08-06,35.6,24.0
2021-08-07,34.9,16.7
2021-08-08,35.5,17.1
2021-08-09,34.9,19.6
2021-08-10,35.0,19.2
2021-08-11,34.9,23.2
2021-08-12,33.9,21.4
2021-08-13,33.1,23.6
2021-08-14,36.0,19.1
2022-08-01,31.2,19.2
2022-08-02,33.1,18.9
2022-08-03,34.4,19.5
2022-08-04,33.2,20.6
2022-08-05,30.1,20.8
2022-08-06,32.9,18.5
2022-08-07,36.2,17.4
2022-08-08,36.1,18.8
2022-08-09,32.7,21.1
2022-08-10,33.6,19.9
2022-08-11,31.4,21.6
2022-08-12,30.7,20.0
2022-08-13,28.1,18.8
2022-08-14,29.8,19.3
2023-08-01,31.5,20.0
2023-08-02,30.6,18.6
2023-08-03,32.3,16.0
2023-08-04,34.1,15.6
2023-08-05,35.8,14.7
2023-08-06,35.5,15.5
2023-08-07,35.0,17.4
2023-08-08,32.8,17.6
2023-08-09,32.9,15.8
2023-08-10,29.3,20.2
2023-08-11,31.7,17.2
2023-08-12,32.3,16.4
2023-08-13,32.3,18.3
2023-08-14,35.0,17.2
2024-08-01,38.8,19.5
2024-08-02,35.3,22.4
2024-08-03,35.6,22.8
2024-08-04,37.2,21.4
2024-08-05,38.0,21.2
2024-08-06,38.0,23.2
2024-08-07,35.0,23.3
2024-08-08,34.4,21.5
2024-08-09,35.7,20.1
2024-08-10,35.3,20.4
2024-08-11,32.1,19.8
2024-08-12,31.7,19.1
2024-08-13,33.1,20.2
2024-08-14,34.6,17.7
2025-08-01,35.7,17.7
2025-08-02,35.4,18.6
2025-08-03,36.3,15.5
2025-08-04,36.1,16.9
2025-08-05,36.3,18.1
2025-08-06,36.9,19.2
2025-08-07,37.3,18.7
2025-08-08,36.0,18.2
2025-08-09,36.2,16.1
2025-08-10,36.5,17.4
2025-08-11,36.7,18.0
2025-08-12,37.6,17.9
2025-08-13,37.2,18.8
2025-08-14,34.6,21.8
